0,1405105215,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405105457,244444,30555,98,14525,23496,1,30465,95,14405,23870,3
0,1405105458,245451,30555,100,14525,23496,1,30465,95,14405,23870,3
0,1405105459,246455,30555,100,14525,23496,1,30465,95,14410,23870,3
0,1405105460,247456,30555,100,14525,23496,1,30465,95,14410,23870,3
0,1405105461,248457,30555,98,14525,23496,1,30465,94,14410,23870,3
0,1405105462,249458,30555,98,14525,23496,1,30465,94,14410,23870,3
0,1405105463,250462,30555,100,14530,23496,1,30465,94,14415,23870,3
0,1405105464,251467,30555,98,14530,23496,1,30465,94,14415,23870,3
0,1405105465,252469,30555,74,14520,23232,1,30465,70,14405,23881,3
0,1405105466,253471,30555,98,14525,23496,1,30465,100,14410,23870,3
0,1405105467,254474,30555,100,14530,23496,1,30465,100,14415,23870,3
0,1405105468,255476,30600,100,14535,23496,1,30465,97,14415,23870,3
0,1405105469,256483,30555,1,14480,23166,1,30465,-8,14365,23881,3
0,1405105470,257485,30555,8,14480,23166,1,30465,4,14365,23881,3
0,1405105471,258494,30555,100,14530,23496,1,30465,103,14410,23870,3
0,1405105472,259495,30600,100,14530,23496,1,30465,103,14415,23870,3
0,1405105473,260501,30555,100,14535,23496,1,30465,103,14415,23870,3
0,1405105474,261507,30555,100,14535,23496,1,30465,103,14415,23870,3
0,1405105475,262509,30510,1,14490,23111,1,30465,1,14370,23881,3
0,1405105476,263510,30510,1,14480,23089,1,30465,0,14365,23881,3
0,1405105477,264513,30555,98,14525,23496,1,30465,97,14410,23870,3
0,1405105478,265520,30555,100,14530,23496,1,30465,100,14415,23870,3
0,1405105479,266523,30600,100,14535,23496,1,30465,100,14420,23870,3
0,1405105480,267533,30555,100,14535,23496,1,30465,100,14420,23870,3
0,1405105481,268543,30555,100,14535,23496,1,30465,100,14420,23870,3
0,1405105482,269548,30555,100,14540,23496,1,30465,97,14425,23870,3
0,1405105483,270559,30600,100,14540,23496,1,30465,97,14425,23870,3
0,1405105484,271560,30555,100,14540,23496,1,30465,97,14425,23870,3
0,1405105485,272563,30555,100,14545,23496,1,30465,97,14425,23870,3
0,1405105486,273571,30555,100,14545,23496,1,30465,97,14430,23870,3
0,1405105487,274582,30510,-6,14490,23122,1,30465,-9,14370,23870,3
0,1405105488,275589,30510,1,14490,23100,1,30465,-3,14370,23881,3
0,1405105489,276594,30510,1,14485,23122,1,30465,-3,14370,23881,3
0,1405105490,277596,30555,100,14535,23496,1,30465,97,14420,23870,3
0,1405105491,278615,30555,100,14540,23496,1,30465,97,14425,23870,3
0,1405105492,279618,30555,100,14545,23496,1,30465,98,14425,23870,3
0,1405105493,280626,30555,100,14545,23496,1,30465,100,14430,23870,3
0,1405105494,281636,30600,100,14545,23496,1,30465,100,14430,23870,3
0,1405105495,282637,30555,100,14545,23496,1,30465,100,14430,23870,3
0,1405105496,283644,30555,100,14550,23496,1,30465,100,14435,23870,3
0,1405105497,284648,30555,100,14550,23496,1,30465,97,14435,23870,3
0,1405105498,285649,30555,100,14550,23496,1,30465,95,14435,23870,3
0,1405105499,286661,30555,100,14555,23496,1,30465,95,14435,23870,3
0,1405105500,287675,30555,100,14555,23496,1,30465,97,14440,23870,3
0,1405105501,288680,30555,100,14555,23496,1,30465,97,14440,23870,3
0,1405105502,289688,30555,0,14510,23100,1,30465,-3,14390,23870,3
0,1405105503,290691,30600,100,14555,23496,1,30465,100,14440,23870,3
0,1405105504,291697,30600,100,14560,23496,1,30465,98,14445,23870,3
0,1405105505,292698,30600,100,14560,23496,1,30465,95,14445,23870,3
0,1405105506,293702,30600,100,14560,23496,1,30465,95,14445,23870,3
0,1405105507,294712,30600,100,14565,23496,1,30465,94,14445,23870,3
0,1405105508,295716,30600,98,14565,23496,1,30465,94,14450,23870,3
0,1405105509,296727,30600,98,14565,23496,1,30465,94,14450,23870,3
0,1405105510,297730,30600,100,14565,23496,1,30465,94,14450,23870,3
0,1405105511,298733,30600,100,14565,23496,1,30465,97,14450,23870,3
0,1405105512,299740,30555,100,14570,23496,1,30465,97,14450,23870,3
0,1405105513,300743,30555,100,14570,23496,1,30465,95,14455,23870,3
0,1405105514,301751,30555,100,14570,23496,1,30465,94,14455,23870,3
0,1405105515,302760,30555,100,14570,23496,1,30465,94,14455,23870,3
0,1405105516,303763,30555,100,14575,23496,1,30465,94,14460,23870,3
0,1405105517,304769,30555,100,14575,23496,1,30465,94,14460,23870,3
0,1405105518,305778,30555,98,14575,23496,1,30465,94,14460,23870,3
0,1405105519,306783,30555,100,14575,23485,1,30465,94,14460,23870,3
0,1405105520,307788,30600,98,14580,23485,1,30465,95,14460,23870,3
0,1405105521,308792,30555,98,14580,23496,1,30465,95,14465,23870,3
